bond,inchi,smiles,frag1,frag2,comp,exp,exp_err,error
1,InChI=1S/CH4/h1H4,C,[H],[CH3],4.498,4.515,0.004,0.017
2,InChI=1S/CHN/c1-2/h1H,N#C,[H],N#[C],5.612,5.375,0.004,0.237
3,InChI=1S/C2H6/c1-2/h1-2H3,CC,[CH3],[CH3],3.935,3.879,0.009,0.056
4,InChI=1S/CH3F/c1-2/h1H3,FC,[CH3],[F],4.769,4.721,0.052,0.047
5,InChI=1S/CH3F/c1-2/h1H3,FC,F[CH2],[H],4.28,4.799,0.267,0.518
6,InChI=1S/C2H3N/c1-3-2/h1H3,[N](#[C])C,[N](#[C])[CH2],[H],4.045,4.158,0.0,0.113
7,InChI=1S/CH2N2/c2-1-3/h2H2,NC#N,[H],[NH]C#N,4.031,4.257,0.129,0.226
8,InChI=1S/C2H6O/c1-3-2/h1-2H3,O(C)C,[O]C,[CH3],3.514,3.616,0.043,0.102
9,"InChI=1S/C3H7F/c1-2-3-4/h2-3H2,1H3",FCCC,F[CH2],[CH2]C,3.895,4.364,0.129,0.469
10,"InChI=1S/C3H7F/c1-2-3-4/h2-3H2,1H3",FCCC,[H],FCC[CH2],4.332,3.939,0.129,0.393
11,"InChI=1S/CH4S/c1-2/h2H,1H3",SC,S[CH2],[H],4.031,3.973,0.086,0.058
12,"InChI=1S/CH4S/c1-2/h2H,1H3",SC,[S]C,[H],3.66,3.758,0.0,0.098
13,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",O(O)C,[OH],[O]C,1.759,1.944,0.043,0.184
14,"InChI=1S/C3H7F/c1-3(2)4/h3H,1-2H3",FC(C)C,[CH](C)C,[F],4.915,4.734,0.215,0.181
15,"InChI=1S/C2H5F/c1-2-3/h2H2,1H3",FCC,[CH2]C,[F],4.855,4.631,0.0,0.223
16,InChI=1S/CH3Cl/c1-2/h1H3,ClC,Cl[CH2],[H],4.206,4.3,0.086,0.094
17,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,N#CCC#N,N#C[CH2],N#[C],4.763,4.382,0.129,0.381
18,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",CCCCCO,[CH2]O,CCC[CH2],3.644,3.655,0.043,0.011
19,InChI=1S/CH3Cl/c1-2/h1H3,ClC,[Cl],[CH3],3.644,3.599,0.017,0.045
20,"InChI=1S/C12H9N/c13-9-8-11-6-3-5-10-4-1-2-7-12(10)11/h1-7H,8H2",N#CCc1cccc2ccccc12,N#C[CH]c1cccc2ccccc12,[H],3.42,3.496,0.0,0.076
21,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",O(O)C=O,O([O])C=O,[H],3.737,4.236,0.142,0.499
22,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",OCCCC,O[CH2],[CH2]CC,3.598,3.672,0.034,0.074
23,"InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2",FC(F)(CCl)F,[H],FC(F)([CH]Cl)F,4.186,4.377,0.064,0.191
24,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",CC(C)CC,CC(C)[CH2],[CH3],3.837,3.784,0.03,0.053
25,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",O=C=CC,[CH3],O=C=[CH],4.002,4.012,0.064,0.01
26,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",CCC,[H],[CH2]CC,4.313,4.218,0.03,0.094
27,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",CC(C)C,C[C](C)C,[H],4.056,4.115,0.03,0.059
28,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",CCCCCC,[CH2]CCCCC,[H],4.337,4.257,0.0,0.08
29,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",CCC(C)C,CC[C](C)C,[H],4.078,4.119,0.0,0.042
30,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3/t7-/m0/s1",CCC[C@@H](C)CC,CCC[C](C)CC,[H],4.097,4.081,0.0,0.016
